group,old_url,new_url,note
a-muru-ru,/catalog/vazy-i-aksessuary/vazy-i-kuvshiny/keramicheskiy-podsvechnik-1929190593/,/catalog/vazy-i-aksessuary/vazy-i-kuvshiny/keramicheskaya-vaza-tikhaya-zemlya-3/,
c-cyrillic-staging,/catalog/вазы-и-аксессуары/вазы-и-кувшины/MU0007/,/catalog/vazy-i-aksessuary/vazy-i-kuvshiny/keramicheskaya-vaza-tikhaya-zemlya-3/,
a-muru-ru,/catalog/vazy-i-aksessuary/vazy-i-kuvshiny/keramicheskiy-podsvechnik-792922840/,/catalog/vazy-i-aksessuary/vazy-i-kuvshiny/keramicheskaya-vaza-tikhaya-zemlya-4/,
c-cyrillic-staging,/catalog/вазы-и-аксессуары/вазы-и-кувшины/MU0008/,/catalog/vazy-i-aksessuary/vazy-i-kuvshiny/keramicheskaya-vaza-tikhaya-zemlya-4/,
a-muru-ru,/catalog/vazy-i-aksessuary/vazy-i-kuvshiny/keramicheskiy-podsvechnik-1317933197/,/catalog/vazy-i-aksessuary/vazy-i-kuvshiny/keramicheskaya-vaza-forma-sveta/,
c-cyrillic-staging,/catalog/вазы-и-аксессуары/вазы-и-кувшины/MU0009/,/catalog/vazy-i-aksessuary/vazy-i-kuvshiny/keramicheskaya-vaza-forma-sveta/,
a-muru-ru,/catalog/vazy-i-aksessuary/vazy-i-kuvshiny/keramicheskiy-podsvechnik-2134917596/,/catalog/vazy-i-aksessuary/vazy-i-kuvshiny/keramicheskaya-vaza-forma-sveta-2/,
c-cyrillic-staging,/catalog/вазы-и-аксессуары/вазы-и-кувшины/MU0010/,/catalog/vazy-i-aksessuary/vazy-i-kuvshiny/keramicheskaya-vaza-forma-sveta-2/,
a-muru-ru,/catalog/vazy-i-aksessuary/vazy-i-kuvshiny/keramicheskiy-podsvechnik-1985720063/,/catalog/vazy-i-aksessuary/vazy-i-kuvshiny/keramicheskaya-vaza-forma-sveta-3/,
c-cyrillic-staging,/catalog/вазы-и-аксессуары/вазы-и-кувшины/MU0011/,/catalog/vazy-i-aksessuary/vazy-i-kuvshiny/keramicheskaya-vaza-forma-sveta-3/,
a-muru-ru,/catalog/vazy-i-aksessuary/vazy-i-kuvshiny/keramicheskaya-vaza/,/catalog/vazy-i-aksessuary/vazy-i-kuvshiny/keramicheskaya-vaza-forma-sveta-4/,
c-cyrillic-staging,/catalog/вазы-и-аксессуары/вазы-и-кувшины/MU0012/,/catalog/vazy-i-aksessuary/vazy-i-kuvshiny/keramicheskaya-vaza-forma-sveta-4/,
a-muru-ru,/catalog/kukhnya-i-stolovaya/posuda/keramicheskaya-vaza-2085762297/,/catalog/kukhnya-i-stolovaya/posuda/keramicheskiy-salatnik-zhivaya-forma/,
c-cyrillic-staging,/catalog/кухня-и-столовая/посуда/MU0013/,/catalog/kukhnya-i-stolovaya/posuda/keramicheskiy-salatnik-zhivaya-forma/,
a-muru-ru,/catalog/kukhnya-i-stolovaya/posuda/keramicheskaya-vaza-437262777/,/catalog/kukhnya-i-stolovaya/posuda/supovoe-blyudo-keramicheskoe-zhivaya-forma/,
c-cyrillic-staging,/catalog/кухня-и-столовая/посуда/MU0014/,/catalog/kukhnya-i-stolovaya/posuda/supovoe-blyudo-keramicheskoe-zhivaya-forma/,
a-muru-ru,/catalog/kukhnya-i-stolovaya/posuda/keramicheskaya-vaza-tikhaya-zemlya/,/catalog/kukhnya-i-stolovaya/posuda/salatnik-keramicheskiy-zhivaya-forma/,
c-cyrillic-staging,/catalog/кухня-и-столовая/посуда/MU0015/,/catalog/kukhnya-i-stolovaya/posuda/salatnik-keramicheskiy-zhivaya-forma/,
a-muru-ru,/catalog/kukhnya-i-stolovaya/posuda/keramicheskaya-vaza-tikhaya-zemlya-763544108/,/catalog/kukhnya-i-stolovaya/posuda/keramicheskoe-blyudo-s-ruchkami-zhivaya-forma/,
c-cyrillic-staging,/catalog/кухня-и-столовая/посуда/MU0016/,/catalog/kukhnya-i-stolovaya/posuda/keramicheskoe-blyudo-s-ruchkami-zhivaya-forma/,
a-muru-ru,/catalog/kukhnya-i-stolovaya/posuda/keramicheskaya-vaza-tikhaya-zemlya-1059066947/,/catalog/kukhnya-i-stolovaya/posuda/keramicheskoe-servirovochnoe-blyudo-s-ruchkami-zhivaya-forma/,
c-cyrillic-staging,/catalog/кухня-и-столовая/посуда/MU0017/,/catalog/kukhnya-i-stolovaya/posuda/keramicheskoe-servirovochnoe-blyudo-s-ruchkami-zhivaya-forma/,
a-muru-ru,/catalog/kukhnya-i-stolovaya/posuda/keramicheskaya-vaza-tikhaya-zemlya-1448342283/,/catalog/kukhnya-i-stolovaya/posuda/keramicheskoe-servirovochnoe-blyudo-glubina/,
c-cyrillic-staging,/catalog/кухня-и-столовая/посуда/MU0018/,/catalog/kukhnya-i-stolovaya/posuda/keramicheskoe-servirovochnoe-blyudo-glubina/,
a-muru-ru,/catalog/kukhnya-i-stolovaya/posuda/keramicheskaya-vaza-forma-sveta/,/catalog/kukhnya-i-stolovaya/posuda/keramicheskaya-tarelka-glubina/,
c-cyrillic-staging,/catalog/кухня-и-столовая/посуда/MU0019/,/catalog/kukhnya-i-stolovaya/posuda/keramicheskaya-tarelka-glubina/,
a-muru-ru,/catalog/kukhnya-i-stolovaya/posuda/keramicheskaya-vaza-forma-sveta-91552538/,/catalog/kukhnya-i-stolovaya/posuda/keramicheskaya-tarelka-glubina-2/,
c-cyrillic-staging,/catalog/кухня-и-столовая/посуда/MU0020/,/catalog/kukhnya-i-stolovaya/posuda/keramicheskaya-tarelka-glubina-2/,
a-muru-ru,/catalog/kukhnya-i-stolovaya/posuda/keramicheskaya-vaza-forma-sveta-1418829749/,/catalog/kukhnya-i-stolovaya/posuda/keramicheskaya-kruzhka-mudzhi/,
c-cyrillic-staging,/catalog/кухня-и-столовая/посуда/MU0021/,/catalog/kukhnya-i-stolovaya/posuda/keramicheskaya-kruzhka-mudzhi/,
a-muru-ru,/catalog/kukhnya-i-stolovaya/posuda/keramicheskaya-vaza-forma-sveta-1827873292/,/catalog/kukhnya-i-stolovaya/posuda/keramicheskoe-servirovochnoe-blyudo-mudzhi/,
c-cyrillic-staging,/catalog/кухня-и-столовая/посуда/MU0022/,/catalog/kukhnya-i-stolovaya/posuda/keramicheskoe-servirovochnoe-blyudo-mudzhi/,
a-muru-ru,/catalog/kukhnya-i-stolovaya/posuda/keramicheskaya-vaza-forma-sveta-535764464/,/catalog/kukhnya-i-stolovaya/posuda/keramicheskaya-chaynaya-para-mudzhi/,
c-cyrillic-staging,/catalog/кухня-и-столовая/посуда/MU0023/,/catalog/kukhnya-i-stolovaya/posuda/keramicheskaya-chaynaya-para-mudzhi/,
a-muru-ru,/catalog/kukhnya-i-stolovaya/posuda/keramicheskaya-vaza-forma-sveta-837140377/,/catalog/kukhnya-i-stolovaya/posuda/keramicheskaya-tarelka-mudzhi/,
c-cyrillic-staging,/catalog/кухня-и-столовая/посуда/MU0024/,/catalog/kukhnya-i-stolovaya/posuda/keramicheskaya-tarelka-mudzhi/,
a-muru-ru,/catalog/kukhnya-i-stolovaya/posuda/keramicheskaya-vaza-forma-sveta-1982679724/,/catalog/kukhnya-i-stolovaya/posuda/keramicheskaya-tarelka-mudzhi-2/,
c-cyrillic-staging,/catalog/кухня-и-столовая/посуда/MU0025/,/catalog/kukhnya-i-stolovaya/posuda/keramicheskaya-tarelka-mudzhi-2/,
a-muru-ru,/catalog/kukhnya-i-stolovaya/posuda/keramicheskaya-vaza-1330595094/,/catalog/kukhnya-i-stolovaya/posuda/keramicheskaya-tarelka-mudzhi-3/,
c-cyrillic-staging,/catalog/кухня-и-столовая/посуда/MU0026/,/catalog/kukhnya-i-stolovaya/posuda/keramicheskaya-tarelka-mudzhi-3/,
a-muru-ru,/catalog/kukhnya-i-stolovaya/posuda/keramicheskaya-vaza-185688339/,/catalog/kukhnya-i-stolovaya/posuda/keramicheskaya-tarelka-mudzhi-4/,
c-cyrillic-staging,/catalog/кухня-и-столовая/посуда/MU0027/,/catalog/kukhnya-i-stolovaya/posuda/keramicheskaya-tarelka-mudzhi-4/,
a-muru-ru,/catalog/kukhnya-i-stolovaya/posuda/keramicheskiy-derzhatel-dlya-salfetok/,/catalog/kukhnya-i-stolovaya/posuda/keramicheskaya-chashka-mudzhi/,
c-cyrillic-staging,/catalog/кухня-и-столовая/посуда/MU0028/,/catalog/kukhnya-i-stolovaya/posuda/keramicheskaya-chashka-mudzhi/,
a-muru-ru,/catalog/kukhnya-i-stolovaya/posuda/podnos-s-rotangovym-osnovaniem/,/catalog/kukhnya-i-stolovaya/posuda/keramicheskiy-salatnik-mudzhi/,
c-cyrillic-staging,/catalog/кухня-и-столовая/посуда/MU0029/,/catalog/kukhnya-i-stolovaya/posuda/keramicheskiy-salatnik-mudzhi/,
a-muru-ru,/catalog/kukhnya-i-stolovaya/posuda/korzina-dlya-khraneniya-s-pletyenoy-vstavkoy/,/catalog/kukhnya-i-stolovaya/posuda/keramicheskiy-salatnik-mudzhi-2/,
c-cyrillic-staging,/catalog/кухня-и-столовая/посуда/MU0030/,/catalog/kukhnya-i-stolovaya/posuda/keramicheskiy-salatnik-mudzhi-2/,
a-muru-ru,/catalog/kukhnya-i-stolovaya/posuda/servirovochnoe-blyudo-na-nozhke/,/catalog/kukhnya-i-stolovaya/posuda/keramicheskiy-salatnik-volna/,
c-cyrillic-staging,/catalog/кухня-и-столовая/посуда/MU0031/,/catalog/kukhnya-i-stolovaya/posuda/keramicheskiy-salatnik-volna/,
c-cyrillic-staging,/catalog/кухня-и-столовая/посуда/MU0032/,/catalog/kukhnya-i-stolovaya/posuda/keramicheskaya-chashka-volna/,
c-cyrillic-staging,/catalog/кухня-и-столовая/посуда/MU0033/,/catalog/kukhnya-i-stolovaya/posuda/keramicheskiy-salatnik-volna-2/,
c-cyrillic-staging,/catalog/кухня-и-столовая/посуда/MU0034/,/catalog/kukhnya-i-stolovaya/posuda/keramicheskoe-blyudtse-volna/,
c-cyrillic-staging,/catalog/кухня-и-столовая/посуда/MU0035/,/catalog/kukhnya-i-stolovaya/posuda/keramicheskoe-servirovochnoe-blyudo-liniya/,
