"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (Bytes)","Transferred (Bytes)","Total Transferred (Bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://muru.ru/catalog/kukhnya-i-stolovaya/servirovka/koltso-dlya-salfetok/","text/html; charset=UTF-8","503","Service Unavailable","Non-Indexable","Server Error","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","2","4","","2","1","0","6,250","0","0","0","0","0","0","","","","","","0,517","","","","","","1.1","","","","","","https://muru.ru/catalog/kukhnya-i-stolovaya/servirovka/koltso-dlya-salfetok/","2026-06-16 10:35:14"
"https://muru.ru/upload/iblock/e27/pnt72y3zmxqvt4jb7jqqkyc4y9ngspzd.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","510676","510676","510676","75,682","","0","","","","","0,000","2","3","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,517","Fri, 05 Jun 2026 07:54:50 GMT","","","","","1.1","","","","","","https://muru.ru/upload/iblock/e27/pnt72y3zmxqvt4jb7jqqkyc4y9ngspzd.png","2026-06-16 10:35:14"
"https://muru.ru/bitrix/cache/css/s1/aspro-premier/page_e8502f03c0f645ebb1d0f1c3025cf38c/page_e8502f03c0f645ebb1d0f1c3025cf38c_v1.css?178155587125876","text/css","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","2","6","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,478","Mon, 15 Jun 2026 20:37:51 GMT","","","","","1.1","","","","","","https://muru.ru/bitrix/cache/css/s1/aspro-premier/page_e8502f03c0f645ebb1d0f1c3025cf38c/page_e8502f03c0f645ebb1d0f1c3025cf38c_v1.css?178155587125876","2026-06-16 10:35:14"
"https://muru.ru/upload/iblock/db2/808oj037dr8pyup481wv27ig0i98ly69.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","1338349","1338349","1338349","198,343","","0","","","","","0,000","2","3","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,524","Fri, 05 Jun 2026 07:54:49 GMT","","","","","1.1","","","","","","https://muru.ru/upload/iblock/db2/808oj037dr8pyup481wv27ig0i98ly69.png","2026-06-16 10:35:14"
"https://muru.ru/catalog/interer/postery/poster-ty-1245115439/","text/html; charset=UTF-8","503","Service Unavailable","Non-Indexable","Server Error","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","2","4","","2","1","0","6,250","0","0","0","0","0","0","","","","","","0,510","","","","","","1.1","","","","","","https://muru.ru/catalog/interer/postery/poster-ty-1245115439/","2026-06-16 10:35:14"
"https://muru.ru/catalog/interer/postery/lenta-dekorativnaya-barkhat/","text/html; charset=UTF-8","503","Service Unavailable","Non-Indexable","Server Error","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","2","4","","2","1","0","6,250","0","0","0","0","0","0","","","","","","0,563","","","","","","1.1","","","","","","https://muru.ru/catalog/interer/postery/lenta-dekorativnaya-barkhat/","2026-06-16 10:35:14"
"https://muru.ru/catalog/interer/postery/poster-ty-918887323/","text/html; charset=UTF-8","503","Service Unavailable","Non-Indexable","Server Error","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","2","4","","2","1","0","6,250","0","0","0","0","0","0","","","","","","0,706","","","","","","1.1","","","","","","https://muru.ru/catalog/interer/postery/poster-ty-918887323/","2026-06-16 10:35:14"
"https://muru.ru/catalog/interer/postery/poster-botanika-435207777/","text/html; charset=UTF-8","503","Service Unavailable","Non-Indexable","Server Error","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","2","4","","2","1","0","6,250","0","0","0","0","0","0","","","","","","0,501","","","","","","1.1","","","","","","https://muru.ru/catalog/interer/postery/poster-botanika-435207777/","2026-06-16 10:35:14"
"https://muru.ru/catalog/interer/postery/poster-botanika-787850088/","text/html; charset=UTF-8","503","Service Unavailable","Non-Indexable","Server Error","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","2","4","","2","1","0","6,250","0","0","0","0","0","0","","","","","","0,854","","","","","","1.1","","","","","","https://muru.ru/catalog/interer/postery/poster-botanika-787850088/","2026-06-16 10:35:14"
"https://muru.ru/catalog/interer/postery/sekator-854100184/","text/html; charset=UTF-8","503","Service Unavailable","Non-Indexable","Server Error","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","2","4","","2","1","0","6,250","0","0","0","0","0","0","","","","","","0,520","","","","","","1.1","","","","","","https://muru.ru/catalog/interer/postery/sekator-854100184/","2026-06-16 10:35:15"
